Parcel ID,Order Type,Country,FedEx Tracking #,UK Export Date,UK Export AWB,Line Item Total Value GBP,UK Duty,UK VAT
FB1155605,EU Order,FR,882016301109,2025-06-17,JJD149990200063127719,151.2756,0.0,30.25512
FB1156351,EU Order,FR,882016301109,2025-06-17,JJD149990200063164952,45.424800000000005,0.0,9.08496
FB1156523,EU Order,DE,882016301109,2025-06-17,JJD149990200063151618,192.996,0.0,38.5992
FB1157284,EU Order,BE,882016301109,2025-06-17,JJD149990200063145670,44.6796,0.0,8.935920000000001
FB1157944,EU Order,FR,882016301109,2025-06-17,JJD149990200063183248,44.766000000000005,0.0,8.9532
FB1159240,EU Order,FR,882016301109,2025-06-17,JJD149990200063775416,141.264,0.0,28.252800000000004
FB1159681,UK Order,GB,882016301109,,,121.15440000000001,0.0,24.230880000000003
FB1161723,EU Order,FR,882189897221,2025-06-26,JJD149990200063915879,23.7222,0.0,4.74444
FB1162785,EU Order,NL,882189897221,2025-06-26,JJD149990200062678322,52.579800000000006,0.0,10.515960000000002
FB1162844,EU Order,IE,882189897221,2025-06-24,JJD149990200062653069,44.09100000000001,0.0,8.818200000000003
FB1163284,EU Order,SE,882189897221,2025-06-26,JJD149990200063946010,52.903800000000004,0.0,10.580760000000001
FB1164319,EU Order,FR,882189897221,2025-06-26,JJD149990200063962563,52.5852,0.0,10.517040000000001
FB1164656,EU Order,HR,882328916669,2025-07-01,JJD149990200065640552,85.41720000000001,0.0,17.083440000000003
FB1165023,UK Order,GB,882328916669,,,18.948600000000003,0.0,3.789720000000001
FB1165119,UK Order,GB,882328916669,,,177.57900000000004,0.0,35.515800000000006
FB1165510,UK Order,GB,882328916669,,,128.6604,0.0,25.732080000000003
FB1166425,UK Order,GB,882328916669,,,43.864200000000004,0.0,8.77284
FB1169449,EU Order,DE,882482513350,2025-07-08,JJD149990200064374327,43.891200000000005,0.0,8.778240000000002
FB1170304,UK Order,GB,882482513350,,,180.99720000000002,0.0,36.19944000000001
FB1171182,UK Order,GB,882482513350,,,75.0708,0.0,15.014160000000002
FB1171661,EU Order,IE,882482513350,2025-07-08,JJD149990200064353216,91.64880000000001,0.0,18.32976
FB1172193,EU Order,NL,882482513350,2025-07-08,JJD149990200064356220,501.78420000000006,0.0,100.35684
FB1173165,UK Order,GB,882508612555,,,119.6316,0.0,23.926320000000004
FB1173288,EU Order,FR,882482513350,2025-07-08,JJD149990200064363664,87.426,0.0,17.485200000000003
FB1173356,EU Order,BG,882509309410,2025-07-08,JJD149990200064392586,185.0526,0.0,37.01052000000001
FB1173552,EU Order,IT,882508612555,2025-07-08,JJD149990200064394998,98.5554,0.0,19.711080000000003
FB1173952,EU Order,DE,882509309410,2025-07-08,JJD149990200064305309,44.1558,0.0,8.83116
FB1174351,UK Order,GB,882508612555,,,44.6364,0.0,8.927280000000001
FB1175455,EU Order,FR,882508612555,2025-07-08,JJD149990200064342925,107.244,0.0,21.448800000000002
FB1177657,UK Order,GB,882508612555,,,44.3934,0.0,8.878680000000001
FB1178161,EU Order,FR,882508612555,2025-07-08,JJD149990200064396357,52.758,0.0,10.5516
FB1178271,EU Order,NL,882508612555,2025-07-08,JJD149990200064350348,40.75920000000001,0.0,8.151840000000002
FB1179671,EU Order,ES,882509309410,2025-07-08,JJD149990200064355010,205.686,0.0,41.13720000000001
FB1179725,EU Order,DE,882509309410,2025-07-08,JJD149990200064316563,38.9286,0.0,7.785720000000001
